FAMILLE;Période;Quantité;Taux de TVA;CA TTC;CA HT
Accessoires fumeurs;6/11/2024;12;20,0%;32,70 €;27,23 €
Articles Divers Logista 20%;6/11/2024;2;20,0%;8,98 €;7,48 €
Bar 10%;6/11/2024;155;10,0%;227,70 €;206,85 €
Bar 20%;6/11/2024;167;20,0%;407,90 €;339,91 €
Boissons à emporter;6/11/2024;3;5,5%;6,50 €;6,16 €
Briquets;6/11/2024;3;20,0%;5,40 €;4,51 €
Chewing Gum;6/11/2024;3;20,0%;5,80 €;4,83 €
Cigarettes Electroniques;6/11/2024;3;20,0%;14,40 €;12,00 €
Confiserie 5,5%;6/11/2024;4;5,5%;8,20 €;7,77 €
Jeux instantanés;6/11/2024;455;0,0%;2 113,00 €;2 113,00 €
Loto;6/11/2024;84;0,0%;943,50 €;943,50 €
MONETIQUE 0 %;6/11/2024;1;0,0%;107,00 €;107,00 €
Papier tubes et filtres;6/11/2024;47;20,0%;106,30 €;88,61 €
Tabac;6/11/2024;385;0,0%;5 055,75 €;5 055,75 €
TELEPHONIE 20.00 %;6/11/2024;2;20,0%;19,98 €;16,66 €
Timbres poste;6/11/2024;7;0,0%;9,03 €;9,03 €
 paiement proximite;7/11/2024;1;0,0%;35,00 €;35,00 €
Accessoires fumeurs;7/11/2024;19;20,0%;51,10 €;42,57 €
Articles Divers Logista 20%;7/11/2024;13;20,0%;94,98 €;79,17 €
Bar 10%;7/11/2024;164;10,0%;230,40 €;209,30 €
Bar 20%;7/11/2024;188;20,0%;479,20 €;399,38 €
Boissons à emporter;7/11/2024;2;5,5%;5,00 €;4,74 €
Briquets;7/11/2024;4;20,0%;6,80 €;5,68 €
Chewing Gum;7/11/2024;1;20,0%;1,30 €;1,08 €
Confiserie 20%;7/11/2024;2;20,0%;3,00 €;2,50 €
Jeux instantanés;7/11/2024;449;0,0%;1 973,00 €;1 973,00 €
Loto;7/11/2024;101;0,0%;1 072,40 €;1 072,40 €
MONETIQUE 0 %;7/11/2024;2;0,0%;204,00 €;204,00 €
Papier tubes et filtres;7/11/2024;39;20,0%;71,60 €;59,71 €
Tabac;7/11/2024;440;0,0%;5 821,95 €;5 821,95 €
Timbres poste;7/11/2024;2;0,0%;2,58 €;2,58 €
 paiement proximite;8/11/2024;1;0,0%;30,00 €;30,00 €
Accessoires fumeurs;8/11/2024;10;20,0%;24,60 €;20,50 €
Articles Divers Logista 20%;8/11/2024;11;20,0%;85,39 €;71,18 €
Bar 10%;8/11/2024;147;10,0%;241,40 €;219,28 €
Bar 20%;8/11/2024;192;20,0%;529,60 €;441,31 €
Boissons à emporter;8/11/2024;4;5,5%;10,00 €;9,48 €
Briquets;8/11/2024;4;20,0%;7,40 €;6,18 €
Chewing Gum;8/11/2024;3;20,0%;7,50 €;6,25 €
Cigarettes Electroniques;8/11/2024;1;20,0%;14,50 €;12,08 €
Confiserie 20%;8/11/2024;1;20,0%;1,30 €;1,08 €
Confiserie 5,5%;8/11/2024;2;5,5%;4,60 €;4,36 €
Jeux instantanés;8/11/2024;355;0,0%;1 646,00 €;1 646,00 €
Loto;8/11/2024;115;0,0%;1 027,10 €;1 027,10 €
MONETIQUE 0 %;8/11/2024;2;0,0%;150,00 €;150,00 €
Papier tubes et filtres;8/11/2024;64;20,0%;108,00 €;90,07 €
Tabac;8/11/2024;336;0,0%;4 759,85 €;4 759,85 €
TELEPHONIE 20.00 %;8/11/2024;1;20,0%;10,00 €;8,33 €
Timbres poste;8/11/2024;2;0,0%;16,77 €;16,77 €
 paiement proximite;9/11/2024;3;0,0%;154,84 €;154,84 €
Accessoires fumeurs;9/11/2024;12;20,0%;38,40 €;32,01 €
Articles Divers Logista 20%;9/11/2024;13;20,0%;129,60 €;108,02 €
Bar 10%;9/11/2024;171;10,0%;259,50 €;235,73 €
Bar 20%;9/11/2024;187;20,0%;511,90 €;426,65 €
Boissons à emporter;9/11/2024;5;5,5%;11,50 €;10,90 €
Briquets;9/11/2024;6;20,0%;11,70 €;9,76 €
Chewing Gum;9/11/2024;2;20,0%;4,30 €;3,58 €
Confiserie 5,5%;9/11/2024;12;5,5%;15,20 €;14,42 €
Jeux instantanés;9/11/2024;431;0,0%;1 952,00 €;1 952,00 €
Loto;9/11/2024;147;0,0%;1 498,90 €;1 498,90 €
MONETIQUE 0 %;9/11/2024;3;0,0%;79,00 €;79,00 €
Papier tubes et filtres;9/11/2024;47;20,0%;76,30 €;63,61 €
Tabac;9/11/2024;446;0,0%;5 884,95 €;5 884,95 €
Timbres poste;9/11/2024;3;0,0%;18,06 €;18,06 €
Accessoires fumeurs;10/11/2024;8;20,0%;20,20 €;16,84 €
Articles Divers Logista 20%;10/11/2024;2;20,0%;24,39 €;20,33 €
Bar 10%;10/11/2024;141;10,0%;202,10 €;183,58 €
Bar 20%;10/11/2024;218;20,0%;481,20 €;400,98 €
Boissons à emporter;10/11/2024;3;5,5%;7,50 €;7,11 €
Briquets;10/11/2024;2;20,0%;4,00 €;3,34 €
Chewing Gum;10/11/2024;4;20,0%;5,80 €;4,83 €
Confiserie 20%;10/11/2024;2;20,0%;3,00 €;2,50 €
Confiserie 5,5%;10/11/2024;2;5,5%;3,50 €;3,32 €
Jeux instantanés;10/11/2024;297;0,0%;1 359,00 €;1 359,00 €
Loto;10/11/2024;54;0,0%;599,70 €;599,70 €
MONETIQUE 0 %;10/11/2024;2;0,0%;30,00 €;30,00 €
Papier tubes et filtres;10/11/2024;39;20,0%;65,90 €;54,92 €
Tabac;10/11/2024;258;0,0%;3 422,05 €;3 422,05 €
Accessoires fumeurs;11/11/2024;11;20,0%;25,20 €;21,01 €
Articles Divers Logista 20%;11/11/2024;9;20,0%;72,32 €;60,27 €
Bar 10%;11/11/2024;173;10,0%;284,50 €;258,47 €
Bar 20%;11/11/2024;149;20,0%;413,70 €;344,71 €
Boissons à emporter;11/11/2024;5;5,5%;12,50 €;11,85 €
Briquets;11/11/2024;3;20,0%;5,40 €;4,51 €
Chewing Gum;11/11/2024;2;20,0%;2,80 €;2,33 €
Cigarettes Electroniques;11/11/2024;1;20,0%;14,50 €;12,08 €
Confiserie 20%;11/11/2024;4;20,0%;6,80 €;5,67 €
Confiserie 5,5%;11/11/2024;6;5,5%;11,40 €;10,82 €
Jeux instantanés;11/11/2024;397;0,0%;1 755,00 €;1 755,00 €
Loto;11/11/2024;98;0,0%;711,00 €;711,00 €
MONETIQUE 0 %;11/11/2024;2;0,0%;122,00 €;122,00 €
Papier tubes et filtres;11/11/2024;41;20,0%;71,50 €;59,60 €
Tabac;11/11/2024;292;0,0%;3 917,25 €;3 917,25 €
Timbres poste;11/11/2024;2;0,0%;2,58 €;2,58 €
 paiement proximite;12/11/2024;5;0,0%;474,50 €;474,50 €
Accessoires fumeurs;12/11/2024;11;20,0%;33,10 €;27,58 €
Articles Divers Logista 20%;12/11/2024;11;20,0%;90,80 €;75,69 €
Bar 10%;12/11/2024;153;10,0%;218,20 €;198,15 €
Bar 20%;12/11/2024;130;20,0%;396,70 €;330,55 €
Briquets;12/11/2024;3;20,0%;5,40 €;4,51 €
Chewing Gum;12/11/2024;2;20,0%;3,00 €;2,50 €
Cigarettes Electroniques;12/11/2024;1;20,0%;4,80 €;4,00 €
Confiserie 20%;12/11/2024;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;12/11/2024;3;5,5%;4,40 €;4,18 €
Jeux instantanés;12/11/2024;286;0,0%;1 424,00 €;1 424,00 €
Loto;12/11/2024;124;0,0%;1 235,00 €;1 235,00 €
MONETIQUE 0 %;12/11/2024;2;0,0%;526,00 €;526,00 €
Papier tubes et filtres;12/11/2024;61;20,0%;110,20 €;91,84 €
Tabac;12/11/2024;411;0,0%;5 533,55 €;5 533,55 €
Timbres poste;12/11/2024;8;0,0%;10,32 €;10,32 €
Accessoires fumeurs;13/11/2024;8;20,0%;22,20 €;18,50 €
Articles Divers Logista 20%;13/11/2024;35;20,0%;252,28 €;210,26 €
Bar 10%;13/11/2024;165;10,0%;269,30 €;244,61 €
Bar 20%;13/11/2024;148;20,0%;480,20 €;400,15 €
Boissons à emporter;13/11/2024;2;5,5%;5,00 €;4,74 €
Briquets;13/11/2024;5;20,0%;9,40 €;7,83 €
Chewing Gum;13/11/2024;2;20,0%;3,00 €;2,50 €
Chocolat 5,5%;13/11/2024;1;5,5%;2,80 €;2,65 €
Confiserie 5,5%;13/11/2024;1;5,5%;2,80 €;2,65 €
Jeux instantanés;13/11/2024;372;0,0%;1 525,00 €;1 525,00 €
Loto;13/11/2024;124;0,0%;946,10 €;946,10 €
MONETIQUE 0 %;13/11/2024;2;0,0%;293,00 €;293,00 €
Papier tubes et filtres;13/11/2024;45;20,0%;75,60 €;63,03 €
Tabac;13/11/2024;349;0,0%;4 644,25 €;4 644,25 €
Timbres poste;13/11/2024;1;0,0%;15,48 €;15,48 €
Accessoires fumeurs;14/11/2024;6;20,0%;14,10 €;11,76 €
Articles Divers Logista 20%;14/11/2024;3;20,0%;24,97 €;20,81 €
Bar 10%;14/11/2024;168;10,0%;236,70 €;215,05 €
Bar 20%;14/11/2024;184;20,0%;483,80 €;403,14 €
Boissons à emporter;14/11/2024;5;5,5%;12,50 €;11,85 €
Briquets;14/11/2024;7;20,0%;12,80 €;10,69 €
Chewing Gum;14/11/2024;5;20,0%;8,80 €;7,33 €
Confiserie 5,5%;14/11/2024;4;5,5%;8,50 €;8,06 €
Jeux instantanés;14/11/2024;309;0,0%;1 313,00 €;1 313,00 €
Loto;14/11/2024;78;0,0%;750,40 €;750,40 €
MONETIQUE 0 %;14/11/2024;3;0,0%;51,50 €;51,50 €
Papier tubes et filtres;14/11/2024;51;20,0%;94,50 €;78,78 €
Tabac;14/11/2024;342;0,0%;4 741,90 €;4 741,90 €
 paiement proximite;15/11/2024;1;0,0%;194,00 €;194,00 €
Accessoires fumeurs;15/11/2024;18;20,0%;50,70 €;42,24 €
Articles Divers Logista 20%;15/11/2024;19;20,0%;118,33 €;98,63 €
Articles Divers Logista 5,5%;15/11/2024;1;5,5%;1,00 €;0,95 €
Bar 10%;15/11/2024;190;10,0%;282,50 €;256,64 €
Bar 20%;15/11/2024;246;20,0%;626,60 €;522,16 €
Boissons à emporter;15/11/2024;3;5,5%;7,50 €;7,11 €
Briquets;15/11/2024;1;20,0%;1,70 €;1,42 €
Chewing Gum;15/11/2024;3;20,0%;4,50 €;3,75 €
Cigarettes Electroniques;15/11/2024;1;20,0%;4,80 €;4,00 €
Confiserie 20%;15/11/2024;1;20,0%;1,30 €;1,08 €
Confiserie 5,5%;15/11/2024;7;5,5%;12,90 €;12,24 €
Jeux instantanés;15/11/2024;358;0,0%;1 591,00 €;1 591,00 €
Loto;15/11/2024;141;0,0%;1 159,30 €;1 159,30 €
MONETIQUE 0 %;15/11/2024;8;0,0%;280,00 €;280,00 €
Papier tubes et filtres;15/11/2024;35;20,0%;66,90 €;55,77 €
Tabac;15/11/2024;409;0,0%;5 371,95 €;5 371,95 €
TELEPHONIE 20.00 %;15/11/2024;1;20,0%;10,00 €;8,33 €
Timbres poste;15/11/2024;5;0,0%;6,45 €;6,45 €
 paiement proximite;16/11/2024;1;0,0%;68,16 €;68,16 €
Accessoires fumeurs;16/11/2024;13;20,0%;35,60 €;29,67 €
Articles Divers Logista 20%;16/11/2024;11;20,0%;101,30 €;84,44 €
Bar 10%;16/11/2024;168;10,0%;238,50 €;216,65 €
Bar 20%;16/11/2024;143;20,0%;523,60 €;436,36 €
Boissons à emporter;16/11/2024;9;5,5%;19,50 €;18,48 €
Briquets;16/11/2024;7;20,0%;12,80 €;10,69 €
Chewing Gum;16/11/2024;4;20,0%;7,10 €;5,91 €
Cigarettes Electroniques;16/11/2024;1;20,0%;14,50 €;12,08 €
Confiserie 20%;16/11/2024;2;20,0%;3,40 €;2,84 €
Confiserie 5,5%;16/11/2024;12;5,5%;24,20 €;22,96 €
Jeux instantanés;16/11/2024;453;0,0%;1 868,00 €;1 868,00 €
Loto;16/11/2024;126;0,0%;1 475,80 €;1 475,80 €
MONETIQUE 0 %;16/11/2024;2;0,0%;65,00 €;65,00 €
Papier tubes et filtres;16/11/2024;61;20,0%;102,80 €;85,70 €
Tabac;16/11/2024;433;0,0%;5 800,40 €;5 800,40 €
Timbres poste;16/11/2024;2;0,0%;30,96 €;30,96 €
Accessoires fumeurs;17/11/2024;3;20,0%;9,50 €;7,91 €
Articles Divers Logista 20%;17/11/2024;13;20,0%;113,78 €;94,83 €
Bar 10%;17/11/2024;153;10,0%;228,60 €;207,65 €
Bar 20%;17/11/2024;167;20,0%;445,40 €;371,12 €
Boissons à emporter;17/11/2024;7;5,5%;16,50 €;15,64 €
Briquets;17/11/2024;3;20,0%;5,70 €;4,76 €
Chewing Gum;17/11/2024;1;20,0%;1,50 €;1,25 €
Cigarettes Electroniques;17/11/2024;2;20,0%;9,60 €;8,00 €
Confiserie 20%;17/11/2024;1;20,0%;1,70 €;1,42 €
Jeux instantanés;17/11/2024;231;0,0%;1 028,00 €;1 028,00 €
Loto;17/11/2024;90;0,0%;989,00 €;989,00 €
MONETIQUE 0 %;17/11/2024;1;0,0%;10,00 €;10,00 €
Papier tubes et filtres;17/11/2024;30;20,0%;49,40 €;41,21 €
Tabac;17/11/2024;253;0,0%;3 344,10 €;3 344,10 €
Accessoires fumeurs;18/11/2024;7;20,0%;22,10 €;18,42 €
Articles Divers Logista 20%;18/11/2024;9;20,0%;69,42 €;57,86 €
Bar 10%;18/11/2024;145;10,0%;220,90 €;200,70 €
Bar 20%;18/11/2024;133;20,0%;421,80 €;351,57 €
Boissons à emporter;18/11/2024;2;5,5%;5,00 €;4,74 €
Briquets;18/11/2024;3;20,0%;5,40 €;4,51 €
Chewing Gum;18/11/2024;5;20,0%;7,10 €;5,91 €
Confiserie 20%;18/11/2024;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;18/11/2024;2;5,5%;3,40 €;3,22 €
Jeux instantanés;18/11/2024;286;0,0%;1 384,00 €;1 384,00 €
Loto;18/11/2024;130;0,0%;1 662,40 €;1 662,40 €
Papier tubes et filtres;18/11/2024;41;20,0%;73,10 €;60,94 €
Tabac;18/11/2024;361;0,0%;4 753,70 €;4 753,70 €
Timbres poste;18/11/2024;8;0,0%;24,51 €;24,51 €
Accessoires fumeurs;19/11/2024;15;20,0%;34,10 €;28,43 €
Articles Divers Logista 20%;19/11/2024;1;20,0%;10,00 €;8,33 €
Bar 10%;19/11/2024;160;10,0%;274,40 €;249,28 €
Bar 20%;19/11/2024;167;20,0%;439,20 €;366,00 €
Briquets;19/11/2024;4;20,0%;7,70 €;6,43 €
Chewing Gum;19/11/2024;2;20,0%;4,50 €;3,75 €
Chocolat 5,5%;19/11/2024;1;5,5%;2,80 €;2,65 €
Cigarettes Electroniques;19/11/2024;3;20,0%;14,40 €;12,00 €
Confiserie 20%;19/11/2024;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;19/11/2024;2;5,5%;4,50 €;4,26 €
Jeux instantanés;19/11/2024;312;0,0%;1 441,00 €;1 441,00 €
Loto;19/11/2024;124;0,0%;1 179,60 €;1 179,60 €
Papier tubes et filtres;19/11/2024;55;20,0%;101,20 €;84,33 €
Tabac;19/11/2024;345;0,0%;4 769,55 €;4 769,55 €
Timbres poste;19/11/2024;1;0,0%;1,29 €;1,29 €
 paiement proximite;20/11/2024;1;0,0%;45,00 €;45,00 €
Accessoires fumeurs;20/11/2024;6;20,0%;16,80 €;13,99 €
Articles Divers Logista 20%;20/11/2024;24;20,0%;177,22 €;147,70 €
Bar 10%;20/11/2024;155;10,0%;235,30 €;213,73 €
Bar 20%;20/11/2024;151;20,0%;419,40 €;349,50 €
Boissons à emporter;20/11/2024;1;5,5%;2,50 €;2,37 €
Briquets;20/11/2024;5;20,0%;9,70 €;8,10 €
Chewing Gum;20/11/2024;1;20,0%;1,50 €;1,25 €
Confiserie 20%;20/11/2024;6;20,0%;10,20 €;8,51 €
Confiserie 5,5%;20/11/2024;1;5,5%;1,70 €;1,61 €
Jeux instantanés;20/11/2024;250;0,0%;1 122,00 €;1 122,00 €
Loto;20/11/2024;109;0,0%;905,50 €;905,50 €
MONETIQUE 0 %;20/11/2024;3;0,0%;110,00 €;110,00 €
Papier tubes et filtres;20/11/2024;36;20,0%;65,00 €;54,17 €
Tabac;20/11/2024;350;0,0%;4 485,60 €;4 485,60 €
Accessoires fumeurs;21/11/2024;9;20,0%;21,60 €;17,99 €
Articles Divers Logista 20%;21/11/2024;4;20,0%;45,29 €;37,75 €
Bar 10%;21/11/2024;162;10,0%;218,90 €;198,89 €
Bar 20%;21/11/2024;168;20,0%;428,90 €;357,49 €
Boissons à emporter;21/11/2024;8;5,5%;20,00 €;18,96 €
Briquets;21/11/2024;4;20,0%;7,70 €;6,43 €
Confiserie 20%;21/11/2024;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;21/11/2024;3;5,5%;6,20 €;5,87 €
Jeux instantanés;21/11/2024;321;0,0%;1 515,00 €;1 515,00 €
Loto;21/11/2024;120;0,0%;1 124,90 €;1 124,90 €
MONETIQUE 0 %;21/11/2024;1;0,0%;25,00 €;25,00 €
Papier tubes et filtres;21/11/2024;37;20,0%;64,20 €;53,53 €
Tabac;21/11/2024;390;0,0%;5 176,25 €;5 176,25 €
TELEPHONIE 20.00 %;21/11/2024;1;20,0%;20,00 €;16,67 €
Timbres poste;21/11/2024;2;0,0%;16,77 €;16,77 €
Accessoires fumeurs;22/11/2024;13;20,0%;42,30 €;35,25 €
Articles Divers Logista 20%;22/11/2024;20;20,0%;157,80 €;131,53 €
Bar 10%;22/11/2024;174;10,0%;272,50 €;247,55 €
Bar 20%;22/11/2024;176;20,0%;505,40 €;421,18 €
Boissons à emporter;22/11/2024;4;5,5%;10,00 €;9,48 €
Briquets;22/11/2024;2;20,0%;3,40 €;2,84 €
Cigarettes Electroniques;22/11/2024;1;20,0%;14,50 €;12,08 €
Confiserie 20%;22/11/2024;3;20,0%;5,10 €;4,26 €
Confiserie 5,5%;22/11/2024;5;5,5%;9,10 €;8,63 €
Jeux instantanés;22/11/2024;339;0,0%;1 278,00 €;1 278,00 €
Loto;22/11/2024;214;0,0%;1 863,10 €;1 863,10 €
MONETIQUE 0 %;22/11/2024;1;0,0%;10,00 €;10,00 €
Papier tubes et filtres;22/11/2024;47;20,0%;97,30 €;81,09 €
Tabac;22/11/2024;430;0,0%;5 535,95 €;5 535,95 €
Timbres poste;22/11/2024;1;0,0%;15,48 €;15,48 €
Accessoires fumeurs;23/11/2024;12;20,0%;34,40 €;28,65 €
Articles Divers Logista 20%;23/11/2024;16;20,0%;140,27 €;116,90 €
Bar 10%;23/11/2024;171;10,0%;264,70 €;240,41 €
Bar 20%;23/11/2024;130;20,0%;313,80 €;261,46 €
Boissons à emporter;23/11/2024;2;5,5%;5,00 €;4,74 €
Briquets;23/11/2024;6;20,0%;10,80 €;9,02 €
Chewing Gum;23/11/2024;3;20,0%;6,00 €;5,00 €
Chocolat 5,5%;23/11/2024;1;5,5%;2,80 €;2,65 €
Cigarettes Electroniques;23/11/2024;1;20,0%;4,80 €;4,00 €
Confiserie 20%;23/11/2024;3;20,0%;5,10 €;4,26 €
Confiserie 5,5%;23/11/2024;7;5,5%;14,00 €;13,28 €
Jeux instantanés;23/11/2024;305;0,0%;1 382,00 €;1 382,00 €
Loto;23/11/2024;86;0,0%;688,90 €;688,90 €
MONETIQUE 0 %;23/11/2024;1;0,0%;100,00 €;100,00 €
Papier tubes et filtres;23/11/2024;54;20,0%;94,40 €;78,68 €
Tabac;23/11/2024;383;0,0%;5 333,10 €;5 333,10 €
TELEPHONIE 20.00 %;23/11/2024;1;20,0%;9,99 €;8,33 €
Timbres poste;23/11/2024;3;0,0%;18,06 €;18,06 €
Accessoires fumeurs;24/11/2024;3;20,0%;10,90 €;9,08 €
Articles Divers Logista 20%;24/11/2024;6;20,0%;38,45 €;32,04 €
Bar 10%;24/11/2024;148;10,0%;234,70 €;213,21 €
Bar 20%;24/11/2024;161;20,0%;390,60 €;325,47 €
Boissons à emporter;24/11/2024;9;5,5%;22,50 €;21,33 €
Briquets;24/11/2024;7;20,0%;13,70 €;11,43 €
Chewing Gum;24/11/2024;1;20,0%;3,00 €;2,50 €
Confiserie 20%;24/11/2024;8;20,0%;13,60 €;11,34 €
Confiserie 5,5%;24/11/2024;9;5,5%;15,40 €;14,60 €
Jeux instantanés;24/11/2024;299;0,0%;1 247,00 €;1 247,00 €
Loto;24/11/2024;107;0,0%;1 162,50 €;1 162,50 €
MONETIQUE 0 %;24/11/2024;3;0,0%;135,00 €;135,00 €
Papier tubes et filtres;24/11/2024;41;20,0%;71,30 €;59,44 €
Tabac;24/11/2024;294;0,0%;3 865,25 €;3 865,25 €
TELEPHONIE 20.00 %;24/11/2024;1;20,0%;9,99 €;8,33 €
 paiement proximite;25/11/2024;1;0,0%;35,00 €;35,00 €
Accessoires fumeurs;25/11/2024;8;20,0%;21,30 €;17,74 €
Articles Divers Logista 20%;25/11/2024;6;20,0%;32,09 €;26,74 €
Bar 10%;25/11/2024;145;10,0%;210,50 €;191,20 €
Bar 20%;25/11/2024;151;20,0%;460,00 €;383,32 €
Briquets;25/11/2024;8;20,0%;14,80 €;12,36 €
Chewing Gum;25/11/2024;3;20,0%;5,80 €;4,83 €
Cigarettes Electroniques;25/11/2024;2;20,0%;9,60 €;8,00 €
Confiserie 5,5%;25/11/2024;1;5,5%;2,00 €;1,90 €
Jeux instantanés;25/11/2024;239;0,0%;1 054,00 €;1 054,00 €
Loto;25/11/2024;107;0,0%;1 016,40 €;1 016,40 €
Papier tubes et filtres;25/11/2024;46;20,0%;80,20 €;66,87 €
Tabac;25/11/2024;406;0,0%;5 501,80 €;5 501,80 €
Timbres poste;25/11/2024;3;0,0%;18,06 €;18,06 €
Accessoires fumeurs;26/11/2024;7;20,0%;26,30 €;21,91 €
Articles Divers Logista 20%;26/11/2024;2;20,0%;12,49 €;10,41 €
Bar 10%;26/11/2024;142;10,0%;213,80 €;194,24 €
Bar 20%;26/11/2024;117;20,0%;369,30 €;307,74 €
Boissons à emporter;26/11/2024;2;5,5%;4,00 €;3,79 €
Briquets;26/11/2024;4;20,0%;7,10 €;5,93 €
Chewing Gum;26/11/2024;3;20,0%;7,50 €;6,25 €
Cigarettes Electroniques;26/11/2024;1;20,0%;14,50 €;12,08 €
Confiserie 20%;26/11/2024;2;20,0%;3,40 €;2,83 €
Confiserie 5,5%;26/11/2024;5;5,5%;7,90 €;7,50 €
Jeux instantanés;26/11/2024;264;0,0%;1 061,00 €;1 061,00 €
